unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1643846400,2/3/2022 0:00,BTC/USD,36924.5,37039.89,36803.54,36914.82,22.07347766,814838.4546
1643760000,2/2/2022 0:00,BTC/USD,38768.08,38883.96,36618.36,36923.5,1672.707195,61762204.12
1643673600,2/1/2022 0:00,BTC/USD,38483.56,39285,38033.78,38733.04,2073.938717,80329951.29
1643587200,1/31/2022 0:00,BTC/USD,37914.1,38776.33,36631.66,38491.92,2009.130003,77335271.36
1643500800,1/30/2022 0:00,BTC/USD,38176.45,38378.88,37372.59,37941.82,708.7948127,26892965.2
1643414400,1/29/2022 0:00,BTC/USD,37713.14,38741.67,37327.79,38192.65,1296.908923,49532388.57
1643328000,1/28/2022 0:00,BTC/USD,37179.62,38022.11,36173.98,37748.36,2420.654107,91375722.67
1643241600,1/27/2022 0:00,BTC/USD,36824.02,37251,35511.32,37208.36,3103.823011,115488164
1643155200,1/26/2022 0:00,BTC/USD,37006.76,38946,36279.21,36829.32,3663.155571,134911528.7
1643068800,1/25/2022 0:00,BTC/USD,36721.59,37552.3,35722.43,36975.91,2793.691079,103299269.9
1642982400,1/24/2022 0:00,BTC/USD,36262.21,38050,32950.72,36724.99,6335.15428,232658477.6
1642896000,1/23/2022 0:00,BTC/USD,35084.79,36574.47,34624.59,36293.62,2533.703976,91957289.3
1642809600,1/22/2022 0:00,BTC/USD,36447.37,36825.98,34000,35091.11,4510.372186,158273966.5
1642723200,1/21/2022 0:00,BTC/USD,40654.72,41115.58,35423,36495.46,6201.046101,226310029.9
1642636800,1/20/2022 0:00,BTC/USD,41733.21,43518.69,40554.14,40736.05,2425.152607,98791137.85
1642550400,1/19/2022 0:00,BTC/USD,42378.23,42589.9,41145.23,41683.21,1664.704053,69390208.62
1642464000,1/18/2022 0:00,BTC/USD,42230.09,42685.25,41290.06,42377.4,1638.87086,69451085.97
1642377600,1/17/2022 0:00,BTC/USD,43099.08,43209.47,41581,42255.07,1060.009388,44790770.89
1642291200,1/16/2022 0:00,BTC/USD,43084.77,43495.59,42615,43107.7,621.9530273,26810964.52
1642204800,1/15/2022 0:00,BTC/USD,43085.76,43826.8,42387.86,43102.01,707.658523,30501504.73
1642118400,1/14/2022 0:00,BTC/USD,42579.44,43468.95,41782.21,43102.35,1386.832758,59775750.94
1642032000,1/13/2022 0:00,BTC/USD,43935.01,44456.34,42321,42571.94,1993.883243,84883477.78
1641945600,1/12/2022 0:00,BTC/USD,42754.44,44337.26,42471.17,43933.5,2502.762101,109955098.8
1641859200,1/11/2022 0:00,BTC/USD,41842.22,43144.74,41284.11,42736,2442.654151,104389267.8
1641772800,1/10/2022 0:00,BTC/USD,41853.98,42256.55,39558.7,41845.42,3494.013786,146208474.4
1641686400,1/9/2022 0:00,BTC/USD,41697.32,42796.49,41200,41875.81,1532.588234,64178373.7
1641600000,1/8/2022 0:00,BTC/USD,41576.73,42315.31,40517.05,41690.77,1581.47362,65932852.94
1641513600,1/7/2022 0:00,BTC/USD,43093.4,43135.35,40600,41535.66,2984.205861,123950960
1641427200,1/6/2022 0:00,BTC/USD,43417.31,43782.86,42414,43097.6,2450.113094,105593994.1
1641340800,1/5/2022 0:00,BTC/USD,45828.77,46855.06,42413.59,43435.8,3397.545778,147575118.9
1641254400,1/4/2022 0:00,BTC/USD,46464.01,47526,45539.05,45820,1832.612837,83970320.19
