unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1643846400,2022-02-03 00:00:00,ETH/USD,2678.82,2705.17,2667.11,2697.13,159.10295290,429121.347355177
1643760000,2022-02-02 00:00:00,ETH/USD,2792.71,2812.44,2608.78,2682.30,20322.41165426,54510804.7802216
1643673600,2022-02-01 00:00:00,ETH/USD,2689.43,2815.00,2676.98,2791.04,29375.25297872,81987506.07372667
1643587200,2022-01-31 00:00:00,ETH/USD,2604.38,2708.16,2479.78,2688.91,27255.62947468,73287934.6507618
1643500800,2022-01-30 00:00:00,ETH/USD,2600.40,2640.26,2543.64,2602.37,8359.75975147,21755187.98443298
1643414400,2022-01-29 00:00:00,ETH/USD,2546.50,2637.17,2522.72,2603.89,13387.17825398,34858739.583755985
1643328000,2022-01-28 00:00:00,ETH/USD,2427.01,2559.84,2360.00,2547.40,29752.90566470,75792551.89025678
1643241600,2022-01-27 00:00:00,ETH/USD,2464.37,2525.10,2317.00,2425.24,26049.11964842,63175366.936134115
1643155200,2022-01-26 00:00:00,ETH/USD,2461.80,2725.60,2402.72,2463.78,38043.57448489,93730997.9443823
1643068800,2022-01-25 00:00:00,ETH/USD,2444.36,2511.19,2350.00,2459.84,19401.77528355,47725262.913487636
1642982400,2022-01-24 00:00:00,ETH/USD,2543.10,2543.10,2160.00,2443.43,48726.78245549,119060482.05521792
1642896000,2022-01-23 00:00:00,ETH/USD,2413.97,2550.00,2371.79,2543.27,15002.84234763,38156278.857456945
1642809600,2022-01-22 00:00:00,ETH/USD,2567.51,2626.00,2300.00,2412.04,35399.47479439,85384949.18306045
1642723200,2022-01-21 00:00:00,ETH/USD,2999.53,3034.02,2466.15,2568.58,49694.99979282,127645582.5678416
1642636800,2022-01-20 00:00:00,ETH/USD,3092.76,3272.37,2974.09,2999.53,29034.78537625,87090709.77962318
1642550400,2022-01-19 00:00:00,ETH/USD,3163.04,3173.91,3046.75,3083.12,12868.08924950,39673863.32691844
1642464000,2022-01-18 00:00:00,ETH/USD,3214.30,3244.27,3083.63,3163.04,20218.87141465,63953099.03939453
1642377600,2022-01-17 00:00:00,ETH/USD,3350.15,3360.29,3142.68,3211.22,23755.91908362,76285482.4797022
1642291200,2022-01-16 00:00:00,ETH/USD,3328.95,3393.66,3274.92,3350.15,8990.62621799,30119946.4241992
1642204800,2022-01-15 00:00:00,ETH/USD,3311.54,3374.83,3262.94,3329.71,7400.86190250,24642723.885373276
1642118400,2022-01-14 00:00:00,ETH/USD,3241.82,3344.31,3188.89,3308.82,13612.56911550,45041540.940748714
