https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1643846400,2022-02-03 00:00:00,LTC/USD,108.28,108.67,107.80,108.17,474.34449964,51309.8445260588
1643760000,2022-02-02 00:00:00,LTC/USD,115.20,116.06,107.45,108.37,19452.88248121,2108108.8744887277
1643673600,2022-02-01 00:00:00,LTC/USD,109.25,116.84,108.30,115.09,19395.90354873,2232274.539423336
1643587200,2022-01-31 00:00:00,LTC/USD,108.76,111.18,104.55,109.61,15980.19675434,1751589.3662432074
1643500800,2022-01-30 00:00:00,LTC/USD,110.60,112.15,107.43,108.79,11016.06486543,1198437.6967101297
1643414400,2022-01-29 00:00:00,LTC/USD,109.37,112.31,107.87,110.92,17838.71071474,1978669.7924789607
1643328000,2022-01-28 00:00:00,LTC/USD,106.96,110.06,105.48,109.46,15907.17229695,1741199.079624147
1643241600,2022-01-27 00:00:00,LTC/USD,106.65,110.00,103.14,106.89,19713.02759872,2107125.5200271807
1643155200,2022-01-26 00:00:00,LTC/USD,107.74,116.49,104.85,107.00,21417.97679517,2291723.5170831904
1643068800,2022-01-25 00:00:00,LTC/USD,109.53,109.77,105.52,107.95,17947.39085037,1937420.8422974416
1642982400,2022-01-24 00:00:00,LTC/USD,111.65,111.95,97.61,109.53,35934.70234049,3935927.94735387
1642896000,2022-01-23 00:00:00,LTC/USD,107.65,112.74,105.85,112.41,19827.30947011,2228787.857535065
1642809600,2022-01-22 00:00:00,LTC/USD,114.36,116.76,96.85,108.31,45164.28667260,4891743.889509306
1642723200,2022-01-21 00:00:00,LTC/USD,129.65,130.91,110.01,114.79,36864.45816551,4231671.152818893
1642636800,2022-01-20 00:00:00,LTC/USD,136.30,142.81,129.00,129.84,19819.41650405,2573353.0388858523
1642550400,2022-01-19 00:00:00,LTC/USD,141.55,142.87,133.27,136.35,22089.69062959,3011929.3173445966
1642464000,2022-01-18 00:00:00,LTC/USD,151.46,153.43,138.74,141.42,31536.69255727,4459919.061449123
1642377600,2022-01-17 00:00:00,LTC/USD,146.61,153.93,144.39,151.38,23562.76165169,3566930.8588328324
1642291200,2022-01-16 00:00:00,LTC/USD,147.06,149.02,143.35,146.38,8314.10410841,1217018.5593890557
1642204800,2022-01-15 00:00:00,LTC/USD,145.08,150.70,144.26,147.77,12884.34854632,1903920.1846897064
1642118400,2022-01-14 00:00:00,LTC/USD,136.52,146.41,136.26,144.76,15230.97112620,2204835.3802287118
1642032000,2022-01-13 00:00:00,LTC/USD,141.94,142.21,134.65,136.38,15234.15390193,2077633.9091452132
1641945600,2022-01-12 00:00:00,LTC/USD,131.65,142.22,130.95,141.54,18589.13514349,2631106.188209574
1641859200,2022-01-11 00:00:00,LTC/USD,126.58,133.49,125.73,131.24,18582.76446829,2438802.0088183796
1641772800,2022-01-10 00:00:00,LTC/USD,130.75,131.46,120.49,126.42,22656.60238847,2864247.6739503774
1641686400,2022-01-09 00:00:00,LTC/USD,129.43,132.55,127.82,130.95,15099.56337548,1977287.8240191059
1641600000,2022-01-08 00:00:00,LTC/USD,131.41,134.60,124.77,129.65,14586.61006513,1891153.9949441047
1641513600,2022-01-07 00:00:00,LTC/USD,135.85,136.16,126.00,131.21,27076.36395681,3552689.7147730403
1641427200,2022-01-06 00:00:00,LTC/USD,135.34,137.97,132.47,135.87,32070.44964539,4357411.993319139
1641340800,2022-01-05 00:00:00,LTC/USD,146.50,149.81,129.77,135.28,20073.97589658,2715607.459289342
1641254400,2022-01-04 00:00:00,LTC/USD,148.50,151.54,145.67,146.64,14927.82123365,2189015.7057024357
1641168000,2022-01-03 00:00:00,LTC/USD,151.05,151.10,146.08,148.47,13558.53188158,2013035.2284581827
1641081600,2022-01-02 00:00:00,LTC/USD,150.12,153.23,147.90,151.15,9341.05607364,1411900.625530686
1640995200,2022-01-01 00:00:00,LTC/USD,146.50,150.93,146.23,150.91,7879.50256032,1189095.7313778913
1640908800,2021-12-31 00:00:00,LTC/USD,147.93,152.59,143.98,145.97,16328.40674270,2383457.532231919
1640822400,2021-12-30 00:00:00,LTC/USD,145.53,149.90,142.98,148.00,13742.70407411,2033920.20296828
1640736000,2021-12-29 00:00:00,LTC/USD,145.72,150.86,144.29,145.41,17902.97917967,2603272.202515815
1640649600,2021-12-28 00:00:00,LTC/USD,155.83,155.87,144.73,145.77,30218.82904527,4404998.709929008
1640563200,2021-12-27 00:00:00,LTC/USD,156.07,161.30,154.38,155.93,57695.69860070,8996490.28280715
1640476800,2021-12-26 00:00:00,LTC/USD,158.03,158.42,153.19,155.90,18918.42481492,2949382.428646028
1640390400,2021-12-25 00:00:00,LTC/USD,161.16,163.60,157.81,157.95,12831.53669456,2026741.220905752
1640304000,2021-12-24 00:00:00,LTC/USD,164.03,166.67,160.36,160.80,19030.69149591,3060135.192542328
1640217600,2021-12-23 00:00:00,LTC/USD,155.50,165.04,153.11,163.48,36678.23211472,5996157.386114425
1640131200,2021-12-22 00:00:00,LTC/USD,154.87,160.12,153.11,155.37,21466.03872991,3335178.4374661166
1640044800,2021-12-21 00:00:00,LTC/USD,152.74,156.47,149.21,154.87,19205.42144994,2974343.619952208
1639958400,2021-12-20 00:00:00,LTC/USD,153.28,156.86,145.50,152.67,23681.48486469,3615452.294292222
1639872000,2021-12-19 00:00:00,LTC/USD,148.60,161.00,147.84,153.04,31405.48978467,4806296.156645897
1639785600,2021-12-18 00:00:00,LTC/USD,144.14,150.23,142.97,148.80,11371.03476010,1692009.9723028801
1639699200,2021-12-17 00:00:00,LTC/USD,148.96,150.25,141.36,144.56,18166.21602630,2626108.188761928
1639612800,2021-12-16 00:00:00,LTC/USD,153.45,156.70,148.66,148.66,17780.75554220,2643287.118903452
1639526400,2021-12-15 00:00:00,LTC/USD,150.35,155.05,141.74,153.61,75697.80238198,11627939.42389595
1639440000,2021-12-14 00:00:00,LTC/USD,144.42,151.90,143.12,150.41,21639.23074054,3254756.695684621
1639353600,2021-12-13 00:00:00,LTC/USD,159.02,159.96,142.80,144.73,22161.77618474,3207473.86721742
1639267200,2021-12-12 00:00:00,LTC/USD,158.28,162.81,153.44,159.05,15107.55897555,2402857.255061228
1639180800,2021-12-11 00:00:00,LTC/USD,148.48,159.49,146.00,158.01,30020.24979934,4743499.670793713
1639094400,2021-12-10 00:00:00,LTC/USD,151.29,159.86,147.92,148.40,29302.07608506,4348428.091022904
1639008000,2021-12-09 00:00:00,LTC/USD,164.85,167.23,151.38,151.38,37640.92058420,5698082.558036196
1638921600,2021-12-08 00:00:00,LTC/USD,162.16,170.40,156.42,165.48,33929.07508584,5614583.345204802
1638835200,2021-12-07 00:00:00,LTC/USD,161.69,165.85,158.51,162.17,37381.92827458,6062227.3082886385
1638748800,2021-12-06 00:00:00,LTC/USD,156.33,164.68,141.60,161.67,47393.52230937,7662110.751755847
1638662400,2021-12-05 00:00:00,LTC/USD,162.65,165.09,148.67,156.53,53637.81618655,8395927.367680673
1638576000,2021-12-04 00:00:00,LTC/USD,188.13,188.62,130.09,163.13,83137.18717443,13562169.343764765
1638489600,2021-12-03 00:00:00,LTC/USD,203.47,208.16,180.00,187.68,26778.89576038,5025863.156308119
1638403200,2021-12-02 00:00:00,LTC/USD,208.66,210.11,200.20,203.60,18701.23745050,3807571.9449218
1638316800,2021-12-01 00:00:00,LTC/USD,207.63,217.59,205.56,208.72,26306.93832328,5490784.166835002
1638230400,2021-11-30 00:00:00,LTC/USD,205.73,220.00,197.70,207.86,43408.32083828,9022853.569444882
1638144000,2021-11-29 00:00:00,LTC/USD,199.72,209.60,195.73,205.90,39071.57280631,8044836.84081923
1638057600,2021-11-28 00:00:00,LTC/USD,195.12,200.00,182.41,199.80,34060.67584073,6805323.032977855
1637971200,2021-11-27 00:00:00,LTC/USD,195.81,201.19,190.84,195.47,31085.27964762,6076239.612720281
1637884800,2021-11-26 00:00:00,LTC/USD,223.68,224.83,190.12,194.88,76453.33000158,14899224.95070791
1637798400,2021-11-25 00:00:00,LTC/USD,212.56,230.00,210.92,223.21,43865.13982266,9791137.859815938
1637712000,2021-11-24 00:00:00,LTC/USD,216.43,217.53,206.00,212.34,26166.69051763,5556235.064513554
1637625600,2021-11-23 00:00:00,LTC/USD,209.25,218.65,205.43,216.50,30262.17528778,6551760.949804369
1637539200,2021-11-22 00:00:00,LTC/USD,221.53,221.79,205.43,209.28,30589.76330445,6401825.664355296
1637452800,2021-11-21 00:00:00,LTC/USD,226.88,230.85,219.92,222.15,28015.08857230,6223551.926336445
1637366400,2021-11-20 00:00:00,LTC/USD,218.17,228.00,212.90,227.07,31520.01204444,7157249.134930991
1637280000,2021-11-19 00:00:00,LTC/USD,204.27,221.44,199.84,218.07,40671.39470139,8869211.042532118
1637193600,2021-11-18 00:00:00,LTC/USD,229.52,232.41,199.64,204.36,70279.86529210,14362393.271093557
1637107200,2021-11-17 00:00:00,LTC/USD,230.87,235.63,218.23,229.96,46543.21201031,10703077.033890888
1637020800,2021-11-16 00:00:00,LTC/USD,262.46,262.79,223.00,230.43,61594.65344279,14193255.9928221
1636934400,2021-11-15 00:00:00,LTC/USD,279.54,281.32,259.21,263.04,35341.88132362,9296328.463365005
