unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1643846400,2022-02-03 00:00:00,XRP/USD,0.60170,0.60245,0.59710,0.59873,240708.20097614,144119.2211704443
1643760000,2022-02-02 00:00:00,XRP/USD,0.62939,0.63161,0.59437,0.60129,19316016.90244738,11614527.803272584
1643673600,2022-02-01 00:00:00,XRP/USD,0.61723,0.63101,0.61186,0.62794,22921643.07395471,14393416.551859122
1643587200,2022-01-31 00:00:00,XRP/USD,0.60100,0.62476,0.58036,0.61740,42736965.63602803,26385802.583683703
1643500800,2022-01-30 00:00:00,XRP/USD,0.61603,0.62338,0.59753,0.60226,10247638.97689367,6171743.050223982
1643414400,2022-01-29 00:00:00,XRP/USD,0.61106,0.62545,0.60918,0.61706,12443723.93354763,7678524.290434902
1643328000,2022-01-28 00:00:00,XRP/USD,0.60773,0.61344,0.59151,0.61111,31378320.03775618,19175605.15827318
1643241600,2022-01-27 00:00:00,XRP/USD,0.61718,0.62492,0.58966,0.60815,28516708.38210361,17342436.20257631
1643155200,2022-01-26 00:00:00,XRP/USD,0.61805,0.66000,0.60532,0.62001,33297859.75201273,20645006.02484541
1643068800,2022-01-25 00:00:00,XRP/USD,0.61266,0.62460,0.58740,0.61708,35967745.61771437,22194976.46577918
1642982400,2022-01-24 00:00:00,XRP/USD,0.62888,0.62889,0.54889,0.61189,63205710.79317830,38674942.37723787
1642896000,2022-01-23 00:00:00,XRP/USD,0.59614,0.63523,0.59012,0.62861,25420782.87396484,15979758.322403038
1642809600,2022-01-22 00:00:00,XRP/USD,0.63604,0.65368,0.54614,0.59695,41941157.49605524,25036773.967270173
1642723200,2022-01-21 00:00:00,XRP/USD,0.71907,0.72861,0.61300,0.63766,49970530.26457200,31864208.328506984
1642636800,2022-01-20 00:00:00,XRP/USD,0.73950,0.76188,0.71623,0.71898,20875780.43547413,15009268.617497189
1642550400,2022-01-19 00:00:00,XRP/USD,0.75134,0.75348,0.72365,0.73824,26331395.94219598,19438889.74036676
1642464000,2022-01-18 00:00:00,XRP/USD,0.76243,0.76849,0.73623,0.75246,23027701.62564024,17327424.365229256
