unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1640908800,12/31/2021 0:00,BTC/USD,47110.3,48589.47,45655.31,46214.37,1798.552604,83118975.51
1640822400,12/30/2021 0:00,BTC/USD,46474.59,47916.32,45934.37,47150.71,2162.270443,101952586.6
1640736000,12/29/2021 0:00,BTC/USD,47597.7,48157.41,46099.94,46483.36,2089.308158,97118063.27
1640649600,12/28/2021 0:00,BTC/USD,50708.05,50719.59,47300,47543.3,2215.268634,105321181.2
1640563200,12/27/2021 0:00,BTC/USD,50885.32,52098.6,50479.44,50718.11,1102.983437,55941235.31
1640476800,12/26/2021 0:00,BTC/USD,50421.51,51292.65,49458.85,50791.21,1015.221975,51564352.51
1640390400,12/25/2021 0:00,BTC/USD,50857.42,51179.36,50190.9,50442.22,823.0487292,41516405.07
1640304000,12/24/2021 0:00,BTC/USD,50850,51864.56,50442.34,50841.48,1446.088831,73521296.37
1640217600,12/23/2021 0:00,BTC/USD,48618.99,51386.66,48051.1,50850,1715.358027,87225955.65
1640131200,12/22/2021 0:00,BTC/USD,48907.75,49600,48449.87,48618.99,1306.165742,63504459.14
1640044800,12/21/2021 0:00,BTC/USD,46926.72,49353.49,46667.08,48929.86,1674.164469,81916633.09
1639958400,12/20/2021 0:00,BTC/USD,46671.66,47547.5,45572.94,46915,1726.016033,80976042.17
1639872000,12/19/2021 0:00,BTC/USD,46854.18,48307.34,46450,46704.67,1275.499371,59571777.2
1639785600,12/18/2021 0:00,BTC/USD,46141.63,47370.14,45501,46881.87,827.3937426,38789765.88
1639699200,12/17/2021 0:00,BTC/USD,47654.99,48018.52,45478.74,46210.92,2077.280247,95993031.3
1639612800,12/16/2021 0:00,BTC/USD,48876.84,49449,47506.21,47663.42,1456.257258,69410201.32
1639526400,12/15/2021 0:00,BTC/USD,48386.95,49514.85,46560,48876.84,2593.35181,126754841.5
1639440000,12/14/2021 0:00,BTC/USD,46736.7,48689.3,46310.4,48389.96,2016.589815,97582700.46
1639353600,12/13/2021 0:00,BTC/USD,50102.31,50226.2,45750,46725.02,3337.447929,155942321.2
1639267200,12/12/2021 0:00,BTC/USD,49420.51,50800,48675,50124.38,1233.788386,61842877.91
1639180800,12/11/2021 0:00,BTC/USD,47179.53,49539.4,46789,49400.54,1323.03956,65358868.7
1639094400,12/10/2021 0:00,BTC/USD,47573.43,50132.88,46886,47142.42,2705.170704,127528293.5
1639008000,12/9/2021 0:00,BTC/USD,50535.15,50839.01,47332.43,47593.12,2585.432708,123048809.1
1638921600,12/8/2021 0:00,BTC/USD,50635.87,51249.41,48656.2,50543.3,1598.435713,80790215.78
1638835200,12/7/2021 0:00,BTC/USD,50550.09,51991,50062.13,50627.32,1719.317619,87044443.26
1638748800,12/6/2021 0:00,BTC/USD,49484,50986,47111,50555,4652.117677,235187809.1
1638662400,12/5/2021 0:00,BTC/USD,49240.81,49777.62,47836.34,49463.22,5156.666137,255065311.6
1638576000,12/4/2021 0:00,BTC/USD,53685.47,53877.77,41967.5,49234.97,10025.68967,493614530.1
1638489600,12/3/2021 0:00,BTC/USD,56534.26,57652,51556.01,53743.69,2964.768185,159337582.3
1638403200,12/2/2021 0:00,BTC/USD,57232.71,57413.52,55839.85,56547.96,2758.144698,155967456.1
1638316800,12/1/2021 0:00,BTC/USD,57027.28,59099.64,56469.22,57251.59,2515.54072,144018705.9
1638230400,11/30/2021 0:00,BTC/USD,57843.33,59250,55918.8,56974.12,3562.717627,202982701.6
