unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1577750400,12/31/2019 0:00,ETH/USD,130.98,133.28,127.65,128.63,14849.53289,1910095.415
1577664000,12/30/2019 0:00,ETH/USD,133.95,135.99,129.93,131.05,8088.673689,1060020.687
1577577600,12/29/2019 0:00,ETH/USD,127.79,137.72,127.32,134.25,13743.97852,1845129.117
1577491200,12/28/2019 0:00,ETH/USD,126.06,129.49,125.74,127.73,3245.507859,414548.7188
1577404800,12/27/2019 0:00,ETH/USD,125.39,126.7,121.82,126.31,9552.742213,1206606.869
1577318400,12/26/2019 0:00,ETH/USD,124.9,132.03,124.09,125.43,15307.39346,1920006.361
1577232000,12/25/2019 0:00,ETH/USD,127.82,127.82,123.02,124.97,12517.80173,1564349.682
1577145600,12/24/2019 0:00,ETH/USD,127.72,129.69,126.63,127.74,7481.555111,955693.8499
1577059200,12/23/2019 0:00,ETH/USD,132.44,135.16,126.1,128.11,20694.61411,2651187.013
1576972800,12/22/2019 0:00,ETH/USD,127.14,133.05,126.87,132.28,13919.89091,1841323.169
1576886400,12/21/2019 0:00,ETH/USD,128.4,128.44,126.62,127.11,6769.975572,860531.5949
1576800000,12/20/2019 0:00,ETH/USD,128.25,129.35,125.72,128.28,18170.71607,2330939.457
1576713600,12/19/2019 0:00,ETH/USD,133.63,134.1,125.6,128.15,38878.65812,4982300.039
1576627200,12/18/2019 0:00,ETH/USD,121.82,134.81,116,132.94,55401.18047,7365032.932
1576540800,12/17/2019 0:00,ETH/USD,132.33,132.63,119.72,121.78,48569.29086,5914768.241
1576454400,12/16/2019 0:00,ETH/USD,142.53,142.53,128.94,132.29,48678.33464,6439656.89
1576368000,12/15/2019 0:00,ETH/USD,141.57,144,139.79,142.33,8823.411632,1255836.178
1576281600,12/14/2019 0:00,ETH/USD,144.67,145,141.02,141.64,5665.082859,802402.3362
1576195200,12/13/2019 0:00,ETH/USD,144.92,145.12,142.74,144.59,15137.36291,2188711.303
1576108800,12/12/2019 0:00,ETH/USD,143.31,145.68,139.18,144.74,20091.22178,2908003.44
1576022400,12/11/2019 0:00,ETH/USD,145.48,146.31,141.93,143.2,7134.994556,1021731.22
1575936000,12/10/2019 0:00,ETH/USD,147.29,148.28,143.73,145.64,15409.27675,2244207.067
1575849600,12/9/2019 0:00,ETH/USD,150.53,151.58,146.61,147.36,13230.82564,1949694.466
1575763200,12/8/2019 0:00,ETH/USD,147,151.99,146.17,150.62,6733.518084,1014202.494
1575676800,12/7/2019 0:00,ETH/USD,149.11,149.94,147.13,147.31,4143.012684,610307.1984
1575590400,12/6/2019 0:00,ETH/USD,148.21,149.79,145.78,148.49,15950.78713,2368532.381
1575504000,12/5/2019 0:00,ETH/USD,145.32,148.93,143.7,147.99,13770.9266,2037959.427
1575417600,12/4/2019 0:00,ETH/USD,147.03,152.57,143.11,145.46,23895.07995,3475778.329
1575331200,12/3/2019 0:00,ETH/USD,148.95,150.02,145.73,147.38,11106.47063,1636871.641
1575244800,12/2/2019 0:00,ETH/USD,151.1,151.58,146.88,149.04,7135.543895,1063481.462
1575158400,12/1/2019 0:00,ETH/USD,151.34,152.26,145.91,151.13,8959.622742,1354067.785
1575072000,11/30/2019 0:00,ETH/USD,154.36,155.36,149.79,151.65,9481.315656,1437841.519
1574985600,11/29/2019 0:00,ETH/USD,151.02,157.76,150.68,154.6,21941.82077,3392205.49
1574899200,11/28/2019 0:00,ETH/USD,153.35,154.84,149.35,150.96,19258.1434,2907209.327
1574812800,11/27/2019 0:00,ETH/USD,147.61,155.86,140.96,152.64,62566.96886,9550222.126
1574726400,11/26/2019 0:00,ETH/USD,145.97,150,143.6,147.77,22144.25169,3272256.073
1574640000,11/25/2019 0:00,ETH/USD,140.08,151.91,131.74,145.94,91709.01679,13384013.91
1574553600,11/24/2019 0:00,ETH/USD,151.93,153.07,138.62,139.79,15312.96452,2140599.311
1574467200,11/23/2019 0:00,ETH/USD,149.5,154.44,146.43,152.34,8416.432069,1282159.261
1574380800,11/22/2019 0:00,ETH/USD,160.9,162.68,137.71,150.17,91617.2275,13758159.05
