unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1577750400,12/31/2019 0:00,LTC/USD,42.17,42.87,40.85,41.09,15771.64363,648056.8368
1577664000,12/30/2019 0:00,LTC/USD,42.97,44.02,41.75,42.26,26269.91955,1110166.8
1577577600,12/29/2019 0:00,LTC/USD,42.76,43.73,42.01,43.06,33292.23563,1433563.666
1577491200,12/28/2019 0:00,LTC/USD,40.87,43.68,40.86,42.69,47492.4994,2027454.799
1577404800,12/27/2019 0:00,LTC/USD,39.9,41.19,39.6,40.94,7108.332059,291015.1145
1577318400,12/26/2019 0:00,LTC/USD,39.88,41.62,39.6,39.85,7343.537974,292639.9883
1577232000,12/25/2019 0:00,LTC/USD,40.25,40.38,39.56,40.04,2039.318902,81654.32885
1577145600,12/24/2019 0:00,LTC/USD,40.55,41.09,39.71,40.31,13101.40286,528117.5492
1577059200,12/23/2019 0:00,LTC/USD,41.98,42.68,40.19,40.66,15646.17262,636173.3785
1576972800,12/22/2019 0:00,LTC/USD,39.74,42.19,39.73,41.99,14022.12963,588789.2233
1576886400,12/21/2019 0:00,LTC/USD,40.11,40.17,39.5,39.64,2038.363072,80800.71217
1576800000,12/20/2019 0:00,LTC/USD,39.65,40.44,39.28,40.23,5591.741502,224955.7606
1576713600,12/19/2019 0:00,LTC/USD,40.93,41.13,39.02,39.55,13929.79043,550923.2115
1576627200,12/18/2019 0:00,LTC/USD,36.89,41.64,35.8,40.93,32640.66483,1335982.411
1576540800,12/17/2019 0:00,LTC/USD,39.93,40.01,36.09,36.88,31952.64415,1178413.516
1576454400,12/16/2019 0:00,LTC/USD,43.43,43.51,38.96,39.85,23867.87163,951134.6845
1576368000,12/15/2019 0:00,LTC/USD,43.18,43.88,42.9,43.4,5381.952922,233576.7568
1576281600,12/14/2019 0:00,LTC/USD,44.4,44.55,43.22,43.22,4507.88123,194830.6268
1576195200,12/13/2019 0:00,LTC/USD,43.69,44.49,43.3,44.4,3195.443655,141877.6983
1576108800,12/12/2019 0:00,LTC/USD,43.7,44.06,42.74,43.62,6708.348933,292618.1805
1576022400,12/11/2019 0:00,LTC/USD,44.05,44.38,43.25,43.63,8685.832367,378962.8662
1575936000,12/10/2019 0:00,LTC/USD,44.46,44.59,43.62,44.12,12918.50933,569964.6316
1575849600,12/9/2019 0:00,LTC/USD,45.72,45.94,44.02,44.47,14418.46814,641189.2783
1575763200,12/8/2019 0:00,LTC/USD,45.21,46.34,44.93,45.62,7409.771336,338033.7684
1575676800,12/7/2019 0:00,LTC/USD,45.46,46.69,45,45.19,10953.33098,494981.0268
1575590400,12/6/2019 0:00,LTC/USD,44.79,45.58,44.14,45.48,11589.76068,527102.3158
1575504000,12/5/2019 0:00,LTC/USD,44.7,45.22,43.81,44.82,16319.74907,731451.1531
1575417600,12/4/2019 0:00,LTC/USD,44.84,47.15,43.76,44.71,44289.30575,1980174.86
1575331200,12/3/2019 0:00,LTC/USD,45.55,46.25,44.25,44.82,14759.81951,661535.1104
1575244800,12/2/2019 0:00,LTC/USD,47.56,47.66,44.77,45.55,30663.29861,1396713.252
1575158400,12/1/2019 0:00,LTC/USD,47.19,48.41,45.51,47.54,16337.45144,776682.4413
1575072000,11/30/2019 0:00,LTC/USD,48.53,48.73,46.72,47.37,11283.27311,534488.6472
1574985600,11/29/2019 0:00,LTC/USD,46.93,49.36,46.92,48.73,20294.26583,988939.5739
1574899200,11/28/2019 0:00,LTC/USD,47.81,48.11,46.3,46.93,11671.38761,547738.2206
1574812800,11/27/2019 0:00,LTC/USD,46.93,48.8,44.6,47.78,42211.66153,2016873.188
1574726400,11/26/2019 0:00,LTC/USD,45.59,47.57,45.32,47,24637.62002,1157968.141
1574640000,11/25/2019 0:00,LTC/USD,43.93,47.43,42.17,45.79,76523.03999,3503990.001
1574553600,11/24/2019 0:00,LTC/USD,48.02,48.02,43.56,44,35641.60812,1568230.757
1574467200,11/23/2019 0:00,LTC/USD,47.44,48.63,46.28,48.31,15179.95579,733343.6642
1574380800,11/22/2019 0:00,LTC/USD,50.63,51.6,43.56,47.52,91740.91748,4359528.399
1574294400,11/21/2019 0:00,LTC/USD,54.85,55.17,48.1,50.59,43126.84971,2181787.327
1574208000,11/20/2019 0:00,LTC/USD,54.95,56.08,54.51,54.87,9167.409828,503015.7773
1574121600,11/19/2019 0:00,LTC/USD,55.59,56.15,54.13,55.08,20248.97145,1115313.347
1574035200,11/18/2019 0:00,LTC/USD,59.33,59.33,53.78,55.77,33885.95907,1889819.937
1573948800,11/17/2019 0:00,LTC/USD,58.29,59.98,57.51,59.14,11354.31519,671494.2004
1573862400,11/16/2019 0:00,LTC/USD,57.48,58.92,57.14,58.38,6656.021183,388578.5167
1573776000,11/15/2019 0:00,LTC/USD,58.86,60.73,55,57.38,32711.73166,1876999.163
1573689600,11/14/2019 0:00,LTC/USD,60.97,60.97,58.32,58.84,10501.07831,617883.4475
1573603200,11/13/2019 0:00,LTC/USD,61.53,61.85,60.18,60.86,7264.417889,442112.4728
1573516800,11/12/2019 0:00,LTC/USD,61.69,62.15,59.35,61.16,17364.89436,1062036.939
1573430400,11/11/2019 0:00,LTC/USD,63.78,64.33,60.38,61.6,25560.87932,1574550.166
1573344000,11/10/2019 0:00,LTC/USD,62,66.29,60.92,63.73,54057.25488,3445068.853
1573257600,11/9/2019 0:00,LTC/USD,60.18,62.28,60.18,62.05,8704.375905,540106.5249
1573171200,11/8/2019 0:00,LTC/USD,61.3,62.33,58.75,60.22,23799.88434,1433229.035
1573084800,11/7/2019 0:00,LTC/USD,64.21,64.28,60.23,61.33,17981.04118,1102777.256
1572998400,11/6/2019 0:00,LTC/USD,63.24,64.3,62.61,64.21,12743.29864,818247.2057
1572912000,11/5/2019 0:00,LTC/USD,61.49,64.25,60.89,63.11,27220.52691,1717887.453
1572825600,11/4/2019 0:00,LTC/USD,58.41,62.76,57.94,61.45,32273.77151,1983223.259
1572739200,11/3/2019 0:00,LTC/USD,58.47,58.77,57.33,58.45,11400.41844,666354.4579
1572652800,11/2/2019 0:00,LTC/USD,58.54,59.34,57.87,58.41,13446.53805,785412.2875
1572566400,11/1/2019 0:00,LTC/USD,58.42,58.89,56.58,58.43,9678.945238,565540.7702
1572480000,10/31/2019 0:00,LTC/USD,58.4,59.7,57.12,58.5,35921.36113,2101399.626
1572393600,10/30/2019 0:00,LTC/USD,60,61.21,56.87,57.92,22590.7715,1308457.485
1572307200,10/29/2019 0:00,LTC/USD,57.96,61,57.8,59.82,32902.00457,1968197.913
1572220800,10/28/2019 0:00,LTC/USD,60.01,62.49,57.6,57.92,40683.6472,2356396.846
1572134400,10/27/2019 0:00,LTC/USD,56.88,62.94,55.82,59.95,50147.85527,3006363.924
1572048000,10/26/2019 0:00,LTC/USD,57.13,64,54.25,56.83,116005.2333,6592577.406
1571961600,10/25/2019 0:00,LTC/USD,49.74,58.79,49.1,56.77,81631.60366,4634226.14
1571875200,10/24/2019 0:00,LTC/USD,49.46,50.36,48.43,49.68,20423.66915,1014647.883
1571788800,10/23/2019 0:00,LTC/USD,53.29,53.49,47.24,49.52,45507.88616,2253550.523
1571702400,10/22/2019 0:00,LTC/USD,54.66,55.08,53.03,53.45,9897.021791,528995.8147
1571616000,10/21/2019 0:00,LTC/USD,54.96,55.78,53.74,54.73,17553.14646,960683.706
1571529600,10/20/2019 0:00,LTC/USD,53.78,55.46,52.73,54.9,12211.97386,670437.365
1571443200,10/19/2019 0:00,LTC/USD,53.39,54.19,52.62,53.74,9395.392636,504908.4003
1571356800,10/18/2019 0:00,LTC/USD,54.82,54.9,52.2,53.31,17121.64296,912754.786
1571270400,10/17/2019 0:00,LTC/USD,52.51,55.22,51.18,54.89,17579.7956,964954.9807
1571184000,10/16/2019 0:00,LTC/USD,54.63,55.4,51.07,52.48,43064.71033,2260035.998
1571097600,10/15/2019 0:00,LTC/USD,56.97,57.37,53.45,54.63,41155.32335,2248315.315
1571011200,10/14/2019 0:00,LTC/USD,56.26,57.18,56.15,56.83,6761.999007,384284.4036
1570924800,10/13/2019 0:00,LTC/USD,55.77,57.95,55.58,56.59,10413.18609,589282.201
1570838400,10/12/2019 0:00,LTC/USD,55.89,56.53,55.58,55.78,2962.767872,165263.1919
1570752000,10/11/2019 0:00,LTC/USD,57.69,58.63,55.45,55.77,28028.34589,1563140.85
1570665600,10/10/2019 0:00,LTC/USD,59.4,59.4,57.15,57.68,11460.4621,661039.454
1570579200,10/9/2019 0:00,LTC/USD,57.05,60.14,56.76,59.24,29488.10793,1746875.514
1570492800,10/8/2019 0:00,LTC/USD,57.64,58.42,56.54,57.05,9588.121323,547002.3215
1570406400,10/7/2019 0:00,LTC/USD,54.52,58.69,53.26,57.61,25531.98678,1470897.758
1570320000,10/6/2019 0:00,LTC/USD,56.88,56.88,53.08,54.51,32845.2331,1790393.656
1570233600,10/5/2019 0:00,LTC/USD,56.46,57.27,55.71,56.93,17940.79006,1021369.178
1570147200,10/4/2019 0:00,LTC/USD,56.64,57.5,55.29,56.57,18766.87598,1061642.174
1570060800,10/3/2019 0:00,LTC/USD,56.55,57.11,53.77,56.37,18152.56987,1023260.363
1569974400,10/2/2019 0:00,LTC/USD,55.91,56.7,55.3,56.42,22022.9223,1242533.276
1569888000,10/1/2019 0:00,LTC/USD,56.05,57.74,54.76,55.71,26487.94777,1475643.571
1569801600,9/30/2019 0:00,LTC/USD,54,56.41,52.44,56.15,29569.79451,1660343.961
1569715200,9/29/2019 0:00,LTC/USD,55.62,55.7,52.22,53.87,19571.87813,1054337.075
1569628800,9/28/2019 0:00,LTC/USD,56,56.34,53.85,55.33,26395.41513,1460458.319
1569542400,9/27/2019 0:00,LTC/USD,55.34,56.85,52.68,56.06,47738.87283,2676241.211
1569456000,9/26/2019 0:00,LTC/USD,57.35,57.37,50.2,55.03,79011.01775,4347976.307
1569369600,9/25/2019 0:00,LTC/USD,54.68,58.41,53.13,57.47,100648.6237,5784276.401
1569283200,9/24/2019 0:00,LTC/USD,66.34,67.25,54.59,54.66,138235.0988,7555930.498
1569196800,9/23/2019 0:00,LTC/USD,72.21,74.09,61.78,66.47,52908.58262,3516833.487
1569110400,9/22/2019 0:00,LTC/USD,73.09,73.09,71,72.48,16810.82208,1218448.384
1569024000,9/21/2019 0:00,LTC/USD,75.2,75.44,72,73.24,32038.62528,2346508.916
1568937600,9/20/2019 0:00,LTC/USD,77.05,77.11,72.52,75.02,35981.78367,2699353.411
1568851200,9/19/2019 0:00,LTC/USD,77.62,77.69,72.63,76.92,66286.04267,5098722.402
1568764800,9/18/2019 0:00,LTC/USD,74.28,80.15,74.28,77.6,42004.56783,3259554.463
1568678400,9/17/2019 0:00,LTC/USD,72.86,77.6,72.25,74.16,38608.63367,2863216.273
1568592000,9/16/2019 0:00,LTC/USD,70.17,73.84,69.52,72.76,41772.05067,3039334.407
1568505600,9/15/2019 0:00,LTC/USD,70.82,71.4,69.67,70.05,5051.10947,353830.2183
1568419200,9/14/2019 0:00,LTC/USD,69.19,71.46,68.29,70.64,10363.1661,732054.0532
1568332800,9/13/2019 0:00,LTC/USD,69.23,69.63,67.36,68.83,18154.10524,1249547.064
1568246400,9/12/2019 0:00,LTC/USD,69.89,70.06,68.41,69.21,7896.43326,546512.146
1568160000,9/11/2019 0:00,LTC/USD,70.68,71.61,68.18,69.79,16958.95105,1183565.194
1568073600,9/10/2019 0:00,LTC/USD,70.08,73.1,69.75,70.84,16783.64874,1188953.676
1567987200,9/9/2019 0:00,LTC/USD,70.43,71.58,67.8,70.11,17411.25555,1220703.127
1567900800,9/8/2019 0:00,LTC/USD,69.07,71.67,68.2,70.55,29564.00675,2085740.676
1567814400,9/7/2019 0:00,LTC/USD,64.99,70.6,64.74,68.81,25963.53265,1786550.682
1567728000,9/6/2019 0:00,LTC/USD,65.38,68.13,64.02,65.02,35574.82755,2313075.287
1567641600,9/5/2019 0:00,LTC/USD,67.06,67.46,64.3,65.37,15612.59193,1020595.135
1567555200,9/4/2019 0:00,LTC/USD,69.03,69.28,66.69,67.16,20414.21027,1371018.362
1567468800,9/3/2019 0:00,LTC/USD,67.27,71,66.7,69,31078.22609,2144397.6
1567382400,9/2/2019 0:00,LTC/USD,66.17,68.15,64.92,67.14,14044.62793,942956.3195
1567296000,9/1/2019 0:00,LTC/USD,64.5,67.32,64.13,66.15,16163.74266,1069231.577
1567209600,8/31/2019 0:00,LTC/USD,64.08,65.3,62.34,64.41,10402.69979,670037.8937
1567123200,8/30/2019 0:00,LTC/USD,63.51,65.53,62.22,64.15,16761.71738,1075264.17
1567036800,8/29/2019 0:00,LTC/USD,66.69,66.69,62.04,63.41,37319.14719,2366407.123
1566950400,8/28/2019 0:00,LTC/USD,72.72,73.03,64.67,66.72,78348.56884,5227416.513
1566864000,8/27/2019 0:00,LTC/USD,73.41,73.59,72.03,72.82,7771.008048,565884.8061
1566777600,8/26/2019 0:00,LTC/USD,72.16,75.57,72.15,73.43,25750.41689,1890853.112
1566691200,8/25/2019 0:00,LTC/USD,73.51,74.92,70.72,72.15,23688.05062,1709092.852
1566604800,8/24/2019 0:00,LTC/USD,75.5,75.5,71.31,73.28,11761.49074,861882.0415
1566518400,8/23/2019 0:00,LTC/USD,73.46,76,72.55,75.56,20782.58977,1570332.483
1566432000,8/22/2019 0:00,LTC/USD,73.29,74.48,70.99,73.56,25212.07674,1854600.365
1566345600,8/21/2019 0:00,LTC/USD,75.26,75.39,70,73.06,38139.83276,2786496.182
1566259200,8/20/2019 0:00,LTC/USD,77.25,77.25,73.32,75.11,15358.57786,1153582.783
1566172800,8/19/2019 0:00,LTC/USD,76.27,79,75.57,77.19,24557.32031,1895579.555
1566086400,8/18/2019 0:00,LTC/USD,72.78,78,71.29,76.2,34120.30579,2599967.301
1566000000,8/17/2019 0:00,LTC/USD,74.66,75.28,71.66,72.78,16998.61297,1237159.052
1565913600,8/16/2019 0:00,LTC/USD,76.13,76.37,72.28,74.99,21712.7017,1628235.501
1565827200,8/15/2019 0:00,LTC/USD,76.03,77.66,70.94,76.19,56388.09329,4296208.828
1565740800,8/14/2019 0:00,LTC/USD,84.51,85.92,74.76,75.62,69325.75967,5242413.946
1565654400,8/13/2019 0:00,LTC/USD,85.65,86.53,82.95,84.35,32966.081,2780688.932
1565568000,8/12/2019 0:00,LTC/USD,89.95,89.95,85.33,85.67,22547.10484,1931610.472
1565481600,8/11/2019 0:00,LTC/USD,85.15,91.35,85.11,89.85,27069.6542,2432208.43
1565395200,8/10/2019 0:00,LTC/USD,84.3,87.23,80.7,85.15,43737.00798,3724206.23
1565308800,8/9/2019 0:00,LTC/USD,90.22,90.22,82.4,84.24,54391.88167,4581972.112
1565222400,8/8/2019 0:00,LTC/USD,90.75,92.8,87.79,89.99,35268.58078,3173819.585
1565136000,8/7/2019 0:00,LTC/USD,92.89,94.4,87.25,90.6,50584.52885,4582958.314
1565049600,8/6/2019 0:00,LTC/USD,96.09,99.17,90.8,93.12,79714.88799,7423050.37
1564963200,8/5/2019 0:00,LTC/USD,93.33,107.14,93.3,96.18,107145.9386,10305296.38
1564876800,8/4/2019 0:00,LTC/USD,94.32,94.8,90.39,93.08,27388.72892,2549342.888
1564790400,8/3/2019 0:00,LTC/USD,94.62,96.72,93.67,94.31,17522.08332,1652507.678
1564704000,8/2/2019 0:00,LTC/USD,98.83,98.95,92.66,94.7,34120.14143,3231177.394
1564617600,8/1/2019 0:00,LTC/USD,98.97,102.8,95.8,98.99,37040.30829,3666620.118
1564531200,7/31/2019 0:00,LTC/USD,90.28,100.19,90.28,98.78,68380.5254,6754628.299
1564444800,7/30/2019 0:00,LTC/USD,90.41,92.79,88.45,90.36,18467.72724,1668743.833
1564358400,7/29/2019 0:00,LTC/USD,90.09,92.62,87.31,90.28,35017.61618,3161390.388
1564272000,7/28/2019 0:00,LTC/USD,88.69,91,83.35,90.06,37724.62615,3397479.831
1564185600,7/27/2019 0:00,LTC/USD,93.95,96.55,86.59,88.81,59878.97942,5317852.162
1564099200,7/26/2019 0:00,LTC/USD,93.41,94.76,90.17,94.1,25850.0046,2432485.432
1564012800,7/25/2019 0:00,LTC/USD,94.11,96.82,91.56,93.42,32451.95991,3031662.095
1563926400,7/24/2019 0:00,LTC/USD,89.57,97.24,86.91,94.43,73237.46745,6915814.051
1563840000,7/23/2019 0:00,LTC/USD,94.97,94.97,88.5,89.77,48480.97188,4352136.845
1563753600,7/22/2019 0:00,LTC/USD,99.66,100.9,90.91,95.21,67887.79146,6463596.625
1563667200,7/21/2019 0:00,LTC/USD,100.19,101.57,96.49,99.8,41546.30134,4146320.874
1563580800,7/20/2019 0:00,LTC/USD,98.85,106.05,97.62,100.5,62365.28206,6267710.847
1563494400,7/19/2019 0:00,LTC/USD,101.14,101.62,94.69,98.8,78568.45488,7762563.342
1563408000,7/18/2019 0:00,LTC/USD,90.53,104.93,87.11,101.2,143594.7961,14531793.37
1563321600,7/17/2019 0:00,LTC/USD,79.67,94.99,76.86,90.35,178888.9713,16162618.55
1563235200,7/16/2019 0:00,LTC/USD,90.6,91.93,77,79.59,95811.48028,7625635.716
1563148800,7/15/2019 0:00,LTC/USD,89.58,93.19,84.7,90.61,83065.72884,7526585.69
1563062400,7/14/2019 0:00,LTC/USD,101.27,101.76,88.02,89.73,103455.4842,9283060.595
1562976000,7/13/2019 0:00,LTC/USD,105.15,105.38,97.46,101.11,57176.8972,5781156.076
1562889600,7/12/2019 0:00,LTC/USD,102.82,107.27,100.59,105.14,40331.29954,4240432.833
1562803200,7/11/2019 0:00,LTC/USD,108.29,108.29,95.1,103.27,156021.6279,16112353.51
1562716800,7/10/2019 0:00,LTC/USD,119.23,120.45,102.39,108.31,172161.6982,18646833.53
1562630400,7/9/2019 0:00,LTC/USD,123.35,124.71,117.92,119.29,37845.12082,4514544.462
1562544000,7/8/2019 0:00,LTC/USD,120.2,125.75,118.26,123.37,40212.37541,4961000.754
1562457600,7/7/2019 0:00,LTC/USD,118,121.2,117.08,120.11,26470.30651,3179348.515
1562371200,7/6/2019 0:00,LTC/USD,118.46,122.32,117.23,118.15,22760.16858,2689113.918
1562284800,7/5/2019 0:00,LTC/USD,119.18,120.78,116.49,118.6,38924.61008,4616458.756
1562198400,7/4/2019 0:00,LTC/USD,121.8,127.49,118.6,119.55,53669.63085,6416204.368
1562112000,7/3/2019 0:00,LTC/USD,118.73,123.2,117.18,121.82,51925.35175,6325546.35
1562025600,7/2/2019 0:00,LTC/USD,123.11,123.39,111.89,118.62,104556.7224,12402518.41
1561939200,7/1/2019 0:00,LTC/USD,122.27,126.38,113.32,122.49,118731.3769,14543406.36
1561852800,6/30/2019 0:00,LTC/USD,133.63,136.89,119.47,122.01,134245.7779,16379327.36
1561766400,6/29/2019 0:00,LTC/USD,119.32,136.37,114.99,133.36,144507.4127,19271508.56
