unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1640908800,12/31/2021 0:00,XRP/USD,0.83826,0.85377,0.80282,0.82942,32132568.74,26651395.17
1640822400,12/30/2021 0:00,XRP/USD,0.81736,0.86023,0.80243,0.83904,21663655.9,18176673.85
1640736000,12/29/2021 0:00,XRP/USD,0.85183,0.8643,0.81114,0.81629,24429679.79,19941703.31
1640649600,12/28/2021 0:00,XRP/USD,0.9267,0.9267,0.84608,0.85154,25248023.04,21499701.54
1640563200,12/27/2021 0:00,XRP/USD,0.92124,0.95588,0.91458,0.92648,16677250.86,15451139.38
1640476800,12/26/2021 0:00,XRP/USD,0.92512,0.93335,0.90556,0.92062,6617886.034,6092558.241
1640390400,12/25/2021 0:00,XRP/USD,0.91196,0.93487,0.89923,0.926,8170687.83,7566056.93
1640304000,12/24/2021 0:00,XRP/USD,0.99514,0.99753,0.89729,0.91186,32213434.87,29374142.72
1640217600,12/23/2021 0:00,XRP/USD,0.95431,1.02,0.93799,0.99421,44206997.48,43951038.96
1640131200,12/22/2021 0:00,XRP/USD,0.9476,0.97344,0.92323,0.95389,34168654.98,32593138.3
1640044800,12/21/2021 0:00,XRP/USD,0.88163,0.96124,0.85269,0.94695,42716425.67,40450319.29
1639958400,12/20/2021 0:00,XRP/USD,0.83535,0.91523,0.825,0.87813,57541551.97,50528963.03
1639872000,12/19/2021 0:00,XRP/USD,0.82616,0.84963,0.81988,0.83533,13026673.05,10881570.8
1639785600,12/18/2021 0:00,XRP/USD,0.79711,0.83423,0.7919,0.82613,11907363.57,9837030.266
1639699200,12/17/2021 0:00,XRP/USD,0.80465,0.83259,0.77623,0.79699,43309200.36,34516999.6
1639612800,12/16/2021 0:00,XRP/USD,0.82712,0.83665,0.80347,0.80543,23698135.81,19087189.53
1639526400,12/15/2021 0:00,XRP/USD,0.80966,0.84027,0.77723,0.8282,29935774.11,24792808.12
1639440000,12/14/2021 0:00,XRP/USD,0.78247,0.82225,0.77223,0.81159,35755805.19,29019053.93
1639353600,12/13/2021 0:00,XRP/USD,0.83947,0.84462,0.76123,0.7813,32362517.55,25284834.96
1639267200,12/12/2021 0:00,XRP/USD,0.84025,0.85723,0.80951,0.84035,12902410.29,10842540.49
1639180800,12/11/2021 0:00,XRP/USD,0.8001,0.84594,0.78445,0.83816,18588431.02,15580079.34
1639094400,12/10/2021 0:00,XRP/USD,0.85926,0.88299,0.7926,0.79905,34596814.28,27644584.45
1639008000,12/9/2021 0:00,XRP/USD,0.86516,0.93523,0.83201,0.85834,57518498.56,49370428.06
1638921600,12/8/2021 0:00,XRP/USD,0.81712,0.88506,0.80423,0.86309,29261532.1,25255335.74
1638835200,12/7/2021 0:00,XRP/USD,0.82923,0.84623,0.805,0.81609,29097235.53,23745962.94
1638748800,12/6/2021 0:00,XRP/USD,0.80581,0.83138,0.74865,0.82866,50058613.74,41481570.86
1638662400,12/5/2021 0:00,XRP/USD,0.84699,0.86421,0.77108,0.80581,42444845.76,34202481.16
1638576000,12/4/2021 0:00,XRP/USD,0.92163,0.92498,0.652,0.84778,96156447.84,81519513.35
1638489600,12/3/2021 0:00,XRP/USD,0.97218,0.98471,0.89197,0.92216,35354805.85,32602787.76
1638403200,12/2/2021 0:00,XRP/USD,0.99005,0.99014,0.9559,0.97294,25236513.04,24553612.99
1638316800,12/1/2021 0:00,XRP/USD,0.99888,1.01824,0.98045,0.99029,28169931.48,27896401.45
1638230400,11/30/2021 0:00,XRP/USD,0.99099,1.03105,0.97114,0.99937,29054097.14,29035793.05
1638144000,11/29/2021 0:00,XRP/USD,0.9702,1.00305,0.96397,0.99115,35516970.19,35202645.01
1638057600,11/28/2021 0:00,XRP/USD,0.94459,0.9697,0.88567,0.96928,32572681.98,31572049.19
1637971200,11/27/2021 0:00,XRP/USD,0.94023,0.96611,0.934,0.94588,16455383.29,15564817.95
1637884800,11/26/2021 0:00,XRP/USD,1.04434,1.04695,0.91024,0.94076,62662634.37,58950499.91
1637798400,11/25/2021 0:00,XRP/USD,1.03324,1.06506,1.02238,1.04419,29354824.12,30652013.8
1637712000,11/24/2021 0:00,XRP/USD,1.06726,1.07352,1.00661,1.03382,32670530.47,33775447.81
